Machine,Start_date,Start_time,End_date,End_time,Uptime,Downtime,Fault,Stops_classification,Transformation,Component,Failure_mode,Stop_classification,Comment
R,2021-07-01,01:13:00,2021-07-01,01:26:00,62,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-07-01,00:02:00,2021-07-01,00:11:00,66,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-30,22:38:00,2021-06-30,22:56:00,19,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-30,22:08:00,2021-06-30,22:19:00,54,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-30,21:26:00,2021-06-30,22:17:00,12,51,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-30,20:43:00,2021-06-30,21:14:00,167,31,Machine Stopped by Operator,,,,,,
R,2021-06-30,17:43:00,2021-06-30,17:56:00,73,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-30,16:12:00,2021-06-30,16:30:00,76,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-30,14:45:00,2021-06-30,14:56:00,103,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-30,14:26:00,2021-06-30,15:35:00,84,69,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-30,12:40:00,2021-06-30,13:02:00,169,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-30,09:40:00,2021-06-30,09:51:00,19,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-30,09:17:00,2021-06-30,09:21:00,192,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-30,05:47:00,2021-06-30,06:05:00,78,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-30,04:24:00,2021-06-30,04:29:00,105,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-30,02:30:00,2021-06-30,02:39:00,11,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-30,02:10:00,2021-06-30,02:19:00,22,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-30,01:35:00,2021-06-30,01:48:00,68,13,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
R,2021-06-30,01:05:00,2021-06-30,02:20:00,38,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-30,00:02:00,2021-06-30,00:27:00,31,25,Machine Stopped by Operator,,,,,,
R,2021-06-29,22:38:00,2021-06-29,23:31:00,93,53,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-29,20:43:00,2021-06-29,21:05:00,139,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-29,18:11:00,2021-06-29,18:24:00,186,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-29,17:01:00,2021-06-29,18:27:00,116,86,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-29,15:00:00,2021-06-29,15:05:00,103,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-29,13:04:00,2021-06-29,13:17:00,91,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-29,12:40:00,2021-06-29,13:35:00,67,55,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-29,11:11:00,2021-06-29,11:33:00,12,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-29,10:48:00,2021-06-29,10:59:00,35,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-29,10:04:00,2021-06-29,10:13:00,108,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-29,08:11:00,2021-06-29,08:16:00,17,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-29,07:36:00,2021-06-29,07:54:00,277,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-29,02:55:00,2021-06-29,02:59:00,32,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-29,02:10:00,2021-06-29,02:23:00,13,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-29,01:48:00,2021-06-29,01:57:00,88,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-29,01:05:00,2021-06-29,02:14:00,45,69,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-29,00:02:00,2021-06-29,00:20:00,57,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-28,23:34:00,2021-06-29,01:00:00,29,86,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-28,22:38:00,2021-06-28,23:05:00,123,27,Machine Stopped by Operator,,,,,,
R,2021-06-28,21:26:00,2021-06-29,04:54:00,51,448,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-06-28,20:43:00,2021-06-29,04:11:00,8,448,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-06-28,20:24:00,2021-06-28,20:35:00,80,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-28,18:51:00,2021-06-28,19:04:00,59,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-28,17:43:00,2021-06-28,17:52:00,69,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-28,16:12:00,2021-06-28,16:34:00,180,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-28,13:55:00,2021-06-28,21:23:00,43,448,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-06-28,13:03:00,2021-06-28,13:12:00,85,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-28,12:40:00,2021-06-28,13:42:00,62,62,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-28,11:11:00,2021-06-28,11:38:00,37,27,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-06-28,10:25:00,2021-06-28,10:34:00,12,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
